isotype	I	II	III	IV	V	X
AB1	0.691786485675512	0.16055297155018	0	0.492782470985397	0.807006181812434	0.759463804075795
BRC20067	0.274123295334739	0.37253513018563	0.775332895898123	0.893548062099281	0.975033370867077	1
BRC20263	0.36145543882406	0.296205715439229	0.147253504625395	0.626508499349764	0.422800001341061	0.667570995824861
CB4851	0.555751355565333	0.192398038662137	0.114857531759639	0	0.703690647871377	0.318904556624028
CB4852	0.819038690018511	0.16055297155018	0.155030582922884	0.864894948768076	0.966524386476549	0.58856942400659
CB4853	0.670343342628948	0.23257586582544	0.226343175235511	0.686603150984868	0.975033370867077	0.490546388968607
CB4854	0.576390023177202	0.726611518575875	0	0.68568284888366	0.901803583410883	0.653114661189416
CB4855	0.432757076891617	0	0.0792762338993176	0.318618702408364	0.744897574068477	0.4375576358778
CB4856	0	0	0	0	0	0
CB4857	0.317009515057482	0.151300887558336	0.225602626483474	0.718408954082898	0.974905395328031	0.140187960868197
CB4858	0.432757076891617	0	0.226343175235511	0.718408954082898	0.975033370867077	0.521720784673546
CB4932	0.536011542075406	0.14307868202002	0	0	0.762997204366686	0.239648412815926
CX11254	0	0.282859121673522	0	0.809388134121531	0.531229192599834	0.383819397549852
CX11262	0.249844743077254	0	0	0.701248632433709	0.428491799651228	0.321927231940721
CX11264	0.512509921542904	0	0	0.602149042141495	0.399183054352725	0
CX11271	0.531364818691706	0.1050305183475	0.138154174556541	0.536976080441017	0.846011564735651	0.521720784673546
CX11276	0.768920620422393	0	0.226343175235511	0.718408954082898	0.70885220022616	0.410531498653106
CX11285	0.363473231264088	0.111660254526729	0.098380651127088	0.553386361026745	0.357896047653646	0.362723466263056
CX11292	0.432757076891617	0.278944025706772	0.226343175235511	0.718408954082898	0.974877999366828	0.521720784673546
CX11307	0.191586943113479	0.0742646177579348	0	0.858038967007519	0.237934641474516	0.289313499306591
CX11314	0.432757076891617	0	0	0.718408954082898	0.47230368901944	0.521720784673546
CX11315	0.200219208107063	0	0	0.602149042141495	0.70885220022616	0.571715041556562
DL200	0.818060855138604	0.14307868202002	0.196852133930063	0.650040108031086	0.674615534563693	0
DL226	0.108232575899015	0.137517704922346	0	0.724550995154597	0.795714447873197	0.601661246000007
DL238	0	0	0	0	0	0
ECA1069	0.484201824110383	0.284368200594717	0.327521836900244	0.159250080224644	0.795714447873197	0.838411107109188
ECA1074	0.348494099108639	0.207544661503223	0.181041279120621	0.846218010905975	0.62283400681738	0.836897736489077
ECA1185	0	0	0	0	0	0
ECA1186	0	0	0	0	0	0
ECA1187	0	0	0	0	0	0
ECA1191	0	0	0	0	0	0
ECA1192	0	0	0	0	0	0
ECA1193	0	0	0	0	0	0
ECA1194	0	0	0	0	0	0
ECA1195	0	0	0	0	0	0
ECA1196	0	0	0	0	0	0
ECA1200	0	0	0	0	0.0517123673127867	0
ECA1202	0	0	0	0	0	0
ECA1206	0	0	0	0	0	0
ECA1208	0	0	0	0	0	0
ECA1212	0	0	0	0	0	0
ECA1216	0	0	0	0	0	0
ECA1223	0	0	0	0	0	0
ECA1225	0	0	0	0	0	0
ECA1228	0	0	0	0	0	0
ECA1229	0	0	0	0	0	0
ECA1232	0	0	0	0	0	0
ECA1237	0	0	0	0	0	0
